job_id,zone,demand,depot_km,window_width,load_pct,seq_index,eta_slack,travel_variance,zone_late_rate,was_late,delay_min
H-0000,KOR,5,6.134,45.3,0.69,4,-17.8,10.98,0.34,1,26
H-0001,IND,11,5.564,20.0,0.484,2,-14.1,7.18,0.18,0,0
H-0002,KOR,6,4.181,86.8,0.663,4,9.3,8.63,0.34,1,15
H-0003,WHT,11,3.923,125.3,0.289,2,35.7,2.02,0.41,0,0
H-0004,JPN,12,4.683,106.6,0.484,3,27.8,4.83,0.22,0,0
H-0005,JPN,10,3.246,44.6,0.585,6,-27.2,6.68,0.22,1,5
H-0006,WHT,6,4.75,20.0,0.342,7,-22.4,14.5,0.41,1,2
H-0007,WHT,4,3.423,43.0,0.213,2,7.7,4.36,0.41,1,10
H-0008,JPN,6,3.893,59.3,0.536,8,-31.1,2.4,0.22,0,0
H-0009,JPN,12,5.566,118.0,0.487,6,5.1,10.66,0.22,0,0
H-0010,HSR,7,5.649,20.0,0.691,6,-18.2,2.72,0.27,1,10
H-0011,JPN,6,1.523,39.9,0.166,4,10.1,9.17,0.22,1,22
H-0012,WHT,8,0.4,35.8,0.439,3,-20.7,4.68,0.41,1,17
H-0013,JPN,5,4.037,24.9,0.36,7,-27.5,2.1,0.22,1,28
H-0014,JPN,4,2.702,94.0,0.16,5,-10.3,17.96,0.22,1,12
H-0015,IND,7,3.037,28.3,0.68,6,6.5,6.41,0.18,1,17
H-0016,WHT,5,4.197,170.9,0.56,6,58.0,6.84,0.41,0,0
H-0017,JPN,12,8.915,49.7,0.262,3,8.0,5.48,0.22,0,0
H-0018,HSR,9,6.128,55.2,0.975,3,16.2,6.68,0.27,1,20
H-0019,WHT,11,3.502,92.2,0.271,3,13.9,5.46,0.41,0,0
H-0020,WHT,4,5.703,52.8,0.747,5,-33.6,6.53,0.41,0,0
H-0021,HSR,12,4.32,60.5,0.27,6,14.4,4.62,0.27,1,14
H-0022,JPN,4,2.251,83.0,0.377,7,2.2,15.55,0.22,1,15
H-0023,KOR,11,3.16,49.8,0.342,1,-9.3,8.67,0.34,0,0
H-0024,IND,6,5.449,38.2,0.739,5,0.8,5.78,0.18,1,13
H-0025,WHT,12,3.892,57.4,0.725,2,0.0,3.47,0.41,1,36
H-0026,HSR,4,3.314,26.3,0.784,2,-2.8,5.87,0.27,1,14
H-0027,JPN,8,5.219,56.1,0.297,1,-9.1,1.8,0.22,0,0
H-0028,WHT,9,2.87,20.0,0.323,3,-34.1,6.05,0.41,1,9
H-0029,HSR,7,2.432,61.0,0.847,8,-30.4,4.01,0.27,0,0
H-0030,KOR,11,6.834,123.0,0.497,5,7.4,6.16,0.34,1,22
H-0031,WHT,11,4.45,75.4,0.315,8,7.5,3.04,0.41,0,0
H-0032,KOR,6,5.527,60.1,0.671,2,41.7,4.01,0.34,0,0
H-0033,IND,9,5.522,22.0,0.387,4,20.6,0.87,0.18,0,0
H-0034,IND,10,2.05,60.9,0.788,4,48.2,1.1,0.18,0,0
H-0035,IND,9,10.722,84.9,0.252,8,-8.5,4.33,0.18,1,25
H-0036,IND,8,1.605,21.9,0.57,4,-27.3,10.86,0.18,1,13
H-0037,WHT,7,4.793,98.9,0.842,5,43.3,3.53,0.41,0,0
H-0038,IND,12,5.147,20.0,0.633,7,-50.6,19.94,0.18,1,22
H-0039,HSR,12,6.301,92.8,0.596,4,-10.2,5.43,0.27,1,20
H-0040,IND,11,0.4,123.1,0.418,1,49.6,10.54,0.18,0,0
H-0041,HSR,9,3.341,20.0,0.781,7,-29.9,3.58,0.27,1,15
H-0042,IND,11,1.087,59.0,0.822,3,-17.0,4.87,0.18,1,1
H-0043,WHT,9,4.7,113.6,0.87,4,15.1,11.14,0.41,1,12
H-0044,WHT,5,4.978,84.9,0.808,7,-1.1,4.34,0.41,1,22
H-0045,WHT,5,4.151,38.9,0.222,7,-34.5,3.37,0.41,1,18
H-0046,JPN,9,7.067,59.5,0.51,6,4.3,1.51,0.22,1,28
H-0047,JPN,11,2.442,69.8,0.15,1,13.7,2.14,0.22,0,0
H-0048,WHT,9,3.048,78.0,0.623,7,7.7,13.04,0.41,0,0
H-0049,IND,6,4.46,40.3,0.535,2,-4.3,2.12,0.18,1,1
H-0050,JPN,7,4.316,20.0,0.661,8,-36.3,4.59,0.22,1,13
H-0051,JPN,11,4.063,24.5,0.477,3,-16.5,2.83,0.22,1,25
H-0052,KOR,9,3.876,113.9,0.228,7,0.4,5.92,0.34,0,0
H-0053,JPN,9,3.329,20.0,0.632,8,-34.9,5.91,0.22,1,9
H-0054,JPN,12,1.759,94.7,0.152,7,-7.9,4.59,0.22,0,0
H-0055,WHT,8,4.144,47.0,0.233,4,-22.3,2.82,0.41,1,12
H-0056,KOR,4,0.636,32.6,0.438,4,7.1,11.66,0.34,1,15
H-0057,WHT,6,7.046,107.8,0.794,6,10.8,7.9,0.41,1,17
H-0058,HSR,6,0.4,63.1,0.928,6,-17.6,6.54,0.27,1,27
H-0059,HSR,9,5.781,55.5,0.895,5,-13.4,8.92,0.27,1,13
H-0060,HSR,9,3.144,73.7,0.38,2,18.1,1.82,0.27,0,0
H-0061,JPN,11,3.905,29.0,0.574,1,15.6,4.81,0.22,1,1
H-0062,WHT,8,1.998,80.7,0.76,7,50.8,6.2,0.41,1,26
H-0063,KOR,7,3.939,20.0,0.775,1,-16.9,15.76,0.34,1,17
H-0064,WHT,8,6.524,65.9,0.647,6,-4.4,2.05,0.41,0,0
H-0065,HSR,8,5.681,57.1,0.51,7,0.0,20.91,0.27,1,28
H-0066,IND,7,3.079,74.3,0.464,2,1.6,4.09,0.18,1,16
H-0067,IND,4,5.052,68.2,0.711,4,-18.5,4.37,0.18,0,0
H-0068,WHT,5,6.542,86.3,0.366,6,-23.3,4.19,0.41,1,24
H-0069,WHT,11,4.325,53.5,0.597,7,-9.7,2.46,0.41,1,24
H-0070,KOR,7,3.501,35.6,0.86,5,-10.6,4.64,0.34,1,12
H-0071,JPN,9,0.873,39.7,0.408,5,12.7,6.44,0.22,1,15
H-0072,KOR,5,5.27,20.6,0.205,2,-14.9,3.58,0.34,1,17
H-0073,KOR,9,5.623,86.7,0.559,6,23.9,7.78,0.34,1,5
H-0074,IND,7,0.4,88.0,0.707,4,16.7,0.5,0.18,0,0
H-0075,KOR,8,1.924,20.0,0.901,6,-23.9,2.84,0.34,1,17
H-0076,JPN,12,6.275,20.0,0.72,5,50.6,4.09,0.22,1,6
H-0077,IND,12,3.282,58.7,0.344,6,16.7,7.51,0.18,0,0
H-0078,KOR,11,5.068,112.0,0.15,7,0.2,7.83,0.34,1,23
